label,hyper,coin_key,tf,timestamp,open,high,low,close,volume
PENGU,PENGU-USDC,PENGU,1m,1773344580000,0.007209,0.007209,0.007209,0.007209,5329.0
PENGU,PENGU-USDC,PENGU,1m,1773344640000,0.007213,0.007213,0.007213,0.007213,226450.0
PENGU,PENGU-USDC,PENGU,1m,1773344700000,0.0072,0.007209,0.0072,0.007209,622515.0
PENGU,PENGU-USDC,PENGU,1m,1773344760000,0.00721,0.00721,0.00721,0.00721,9116.0
PENGU,PENGU-USDC,PENGU,1m,1773344820000,0.007212,0.007218,0.007212,0.007218,242636.0
PENGU,PENGU-USDC,PENGU,1m,1773344880000,0.007218,0.007218,0.007218,0.007218,0.0
PENGU,PENGU-USDC,PENGU,1m,1773344940000,0.007217,0.007217,0.007217,0.007217,3906.0
PENGU,PENGU-USDC,PENGU,1m,1773345000000,0.007215,0.007232,0.007215,0.007231,339747.0
PENGU,PENGU-USDC,PENGU,1m,1773345060000,0.00723,0.00723,0.00723,0.00723,2445.0
PENGU,PENGU-USDC,PENGU,1m,1773345120000,0.007233,0.007233,0.007233,0.007233,8340.0
PENGU,PENGU-USDC,PENGU,1m,1773345180000,0.00723,0.00723,0.00723,0.00723,2128.0
PENGU,PENGU-USDC,PENGU,1m,1773345240000,0.007232,0.00724,0.007232,0.00724,1140007.0
PENGU,PENGU-USDC,PENGU,1m,1773345300000,0.007237,0.007249,0.007237,0.007242,1169946.0
PENGU,PENGU-USDC,PENGU,1m,1773345360000,0.007238,0.007238,0.007238,0.007238,2578.0
PENGU,PENGU-USDC,PENGU,1m,1773345420000,0.00723,0.00723,0.00723,0.00723,2769.0
PENGU,PENGU-USDC,PENGU,1m,1773345480000,0.00723,0.00723,0.00723,0.00723,0.0
PENGU,PENGU-USDC,PENGU,1m,1773345540000,0.007228,0.007228,0.007228,0.007228,5739.0
PENGU,PENGU-USDC,PENGU,1m,1773345600000,0.00722,0.007221,0.007218,0.007218,137075.0
PENGU,PENGU-USDC,PENGU,1m,1773345660000,0.007212,0.007214,0.007212,0.007214,2912.0
PENGU,PENGU-USDC,PENGU,1m,1773345720000,0.007214,0.007214,0.007214,0.007214,2751.0
PENGU,PENGU-USDC,PENGU,1m,1773345780000,0.007224,0.007224,0.007224,0.007224,3658.0
PENGU,PENGU-USDC,PENGU,1m,1773345840000,0.007221,0.00724,0.007221,0.00724,29321.0
PENGU,PENGU-USDC,PENGU,1m,1773345900000,0.007234,0.00725,0.007234,0.00725,2969.0
PENGU,PENGU-USDC,PENGU,1m,1773345960000,0.007225,0.007226,0.007223,0.007226,913157.0
PENGU,PENGU-USDC,PENGU,1m,1773346020000,0.00722,0.00722,0.007219,0.007219,2978.0
PENGU,PENGU-USDC,PENGU,1m,1773346080000,0.007221,0.007221,0.007219,0.007221,349252.0
PENGU,PENGU-USDC,PENGU,1m,1773346140000,0.007225,0.007225,0.007225,0.007225,111912.0
PENGU,PENGU-USDC,PENGU,1m,1773346200000,0.007233,0.007233,0.007214,0.007216,265283.0
PENGU,PENGU-USDC,PENGU,1m,1773346260000,0.007216,0.007216,0.00721,0.00721,166424.0
PENGU,PENGU-USDC,PENGU,1m,1773346320000,0.00721,0.00721,0.00721,0.00721,0.0
PENGU,PENGU-USDC,PENGU,1m,1773346380000,0.007202,0.007203,0.007198,0.007201,3674117.0
PENGU,PENGU-USDC,PENGU,1m,1773346440000,0.007201,0.007201,0.007201,0.007201,0.0
PENGU,PENGU-USDC,PENGU,1m,1773346500000,0.007194,0.007198,0.00719,0.00719,285692.0
PENGU,PENGU-USDC,PENGU,1m,1773346560000,0.007184,0.007184,0.007179,0.007179,432671.0
PENGU,PENGU-USDC,PENGU,1m,1773346620000,0.007181,0.007181,0.007174,0.007179,445582.0
PENGU,PENGU-USDC,PENGU,1m,1773346680000,0.007172,0.007172,0.00717,0.00717,199448.0
PENGU,PENGU-USDC,PENGU,1m,1773346740000,0.007169,0.007169,0.007169,0.007169,5648.0
PENGU,PENGU-USDC,PENGU,1m,1773346800000,0.007166,0.007166,0.007166,0.007166,279094.0
PENGU,PENGU-USDC,PENGU,1m,1773346860000,0.007163,0.007167,0.007163,0.007167,5273.0
PENGU,PENGU-USDC,PENGU,1m,1773346920000,0.007177,0.007177,0.007177,0.007177,3500.0
PENGU,PENGU-USDC,PENGU,1m,1773346980000,0.007177,0.007177,0.007177,0.007177,0.0
PENGU,PENGU-USDC,PENGU,1m,1773347040000,0.007174,0.007174,0.007174,0.007174,2864.0
PENGU,PENGU-USDC,PENGU,1m,1773347100000,0.00718,0.007182,0.00718,0.007182,5003.0
PENGU,PENGU-USDC,PENGU,1m,1773347160000,0.007177,0.007177,0.007174,0.007174,80468.0
PENGU,PENGU-USDC,PENGU,1m,1773347220000,0.00717,0.00717,0.00717,0.00717,3564.0
PENGU,PENGU-USDC,PENGU,1m,1773347280000,0.007167,0.007167,0.007167,0.007167,84041.0
PENGU,PENGU-USDC,PENGU,1m,1773347340000,0.007165,0.007165,0.007165,0.007165,2489.0
PENGU,PENGU-USDC,PENGU,1m,1773347400000,0.00716,0.00716,0.00715,0.00715,3076.0
PENGU,PENGU-USDC,PENGU,1m,1773347460000,0.007151,0.007151,0.007143,0.007143,5465.0
PENGU,PENGU-USDC,PENGU,1m,1773347520000,0.007143,0.007143,0.007143,0.007143,0.0
PENGU,PENGU-USDC,PENGU,1m,1773347580000,0.00715,0.00715,0.007147,0.007148,618752.0
PENGU,PENGU-USDC,PENGU,1m,1773347640000,0.007155,0.007155,0.007155,0.007155,494108.0
PENGU,PENGU-USDC,PENGU,1m,1773347700000,0.007153,0.007153,0.007153,0.007153,130650.0
PENGU,PENGU-USDC,PENGU,1m,1773347760000,0.007154,0.007154,0.007154,0.007154,7891.0
PENGU,PENGU-USDC,PENGU,1m,1773347820000,0.007152,0.007152,0.007152,0.007152,339260.0
PENGU,PENGU-USDC,PENGU,1m,1773347880000,0.007155,0.007155,0.007155,0.007155,4592.0
PENGU,PENGU-USDC,PENGU,1m,1773347940000,0.007148,0.007148,0.007148,0.007148,6217.0
PENGU,PENGU-USDC,PENGU,1m,1773348000000,0.007154,0.007154,0.007154,0.007154,2454.0
PENGU,PENGU-USDC,PENGU,1m,1773348060000,0.007151,0.007155,0.007151,0.007154,19348.0
PENGU,PENGU-USDC,PENGU,1m,1773348120000,0.007155,0.007155,0.007151,0.007151,144739.0
PENGU,PENGU-USDC,PENGU,1m,1773348180000,0.007152,0.007152,0.007152,0.007152,2486.0
PENGU,PENGU-USDC,PENGU,1m,1773348240000,0.007152,0.007152,0.007152,0.007152,0.0
PENGU,PENGU-USDC,PENGU,1m,1773348300000,0.007155,0.007155,0.007155,0.007155,5325.0
PENGU,PENGU-USDC,PENGU,1m,1773348360000,0.007153,0.007153,0.007153,0.007153,5868.0
PENGU,PENGU-USDC,PENGU,1m,1773348420000,0.007156,0.007156,0.007156,0.007156,2306.0
PENGU,PENGU-USDC,PENGU,1m,1773348480000,0.007156,0.007156,0.007154,0.007154,4315.0
PENGU,PENGU-USDC,PENGU,1m,1773348540000,0.007154,0.007154,0.007154,0.007154,0.0
PENGU,PENGU-USDC,PENGU,1m,1773348600000,0.007158,0.007159,0.007158,0.007159,5055.0
PENGU,PENGU-USDC,PENGU,1m,1773348660000,0.007155,0.00716,0.007155,0.00716,9560.0
PENGU,PENGU-USDC,PENGU,1m,1773348720000,0.007154,0.007154,0.007154,0.007154,2463.0
PENGU,PENGU-USDC,PENGU,1m,1773348780000,0.007154,0.007154,0.007154,0.007154,1538.0
PENGU,PENGU-USDC,PENGU,1m,1773348840000,0.00714,0.00714,0.00714,0.00714,1541.0
PENGU,PENGU-USDC,PENGU,1m,1773348900000,0.00714,0.00714,0.007136,0.007136,11615.0
PENGU,PENGU-USDC,PENGU,1m,1773348960000,0.007136,0.007136,0.007136,0.007136,0.0
PENGU,PENGU-USDC,PENGU,1m,1773349020000,0.007142,0.007142,0.007142,0.007142,2695.0
PENGU,PENGU-USDC,PENGU,1m,1773349080000,0.007143,0.007143,0.007143,0.007143,2277.0
PENGU,PENGU-USDC,PENGU,1m,1773349140000,0.007137,0.007137,0.007137,0.007137,7370.0
PENGU,PENGU-USDC,PENGU,1m,1773349200000,0.00714,0.007148,0.00714,0.007148,9485.0
PENGU,PENGU-USDC,PENGU,1m,1773349260000,0.00715,0.007155,0.007147,0.007151,32124.0
PENGU,PENGU-USDC,PENGU,1m,1773349320000,0.007154,0.007154,0.007154,0.007154,2471.0
PENGU,PENGU-USDC,PENGU,1m,1773349380000,0.007154,0.007154,0.007154,0.007154,0.0
PENGU,PENGU-USDC,PENGU,1m,1773349440000,0.007154,0.007154,0.007154,0.007154,2401.0
PENGU,PENGU-USDC,PENGU,1m,1773349500000,0.007156,0.007156,0.007154,0.007154,5226.0
PENGU,PENGU-USDC,PENGU,1m,1773349560000,0.007156,0.007157,0.007156,0.007157,5183.0
PENGU,PENGU-USDC,PENGU,1m,1773349620000,0.007156,0.007156,0.007156,0.007156,7023.0
PENGU,PENGU-USDC,PENGU,1m,1773349680000,0.007154,0.007154,0.007151,0.007151,8207.0
PENGU,PENGU-USDC,PENGU,1m,1773349740000,0.00715,0.007151,0.00715,0.007151,8538.0
PENGU,PENGU-USDC,PENGU,1m,1773349800000,0.007157,0.007157,0.007157,0.007157,2403.0
PENGU,PENGU-USDC,PENGU,1m,1773349860000,0.007146,0.007152,0.007146,0.007152,20128.0
PENGU,PENGU-USDC,PENGU,1m,1773349920000,0.007151,0.007153,0.007148,0.007153,11321.0
PENGU,PENGU-USDC,PENGU,1m,1773349980000,0.007156,0.007161,0.007156,0.007157,31267.0
PENGU,PENGU-USDC,PENGU,1m,1773350040000,0.007149,0.007149,0.007149,0.007149,2491.0
PENGU,PENGU-USDC,PENGU,1m,1773350100000,0.007153,0.007154,0.007153,0.007154,5781.0
PENGU,PENGU-USDC,PENGU,1m,1773350160000,0.007156,0.007156,0.007156,0.007156,2867.0
PENGU,PENGU-USDC,PENGU,1m,1773350220000,0.007153,0.007153,0.007153,0.007153,2502.0
PENGU,PENGU-USDC,PENGU,1m,1773350280000,0.007152,0.007152,0.007152,0.007152,2542.0
PENGU,PENGU-USDC,PENGU,1m,1773350340000,0.007155,0.007156,0.007155,0.007156,237630.0
PENGU,PENGU-USDC,PENGU,1m,1773350400000,0.007154,0.007154,0.007154,0.007154,5279.0
PENGU,PENGU-USDC,PENGU,1m,1773350460000,0.00715,0.00715,0.00715,0.00715,2271.0
PENGU,PENGU-USDC,PENGU,1m,1773350520000,0.007149,0.007149,0.007149,0.007149,2597.0
PENGU,PENGU-USDC,PENGU,1m,1773350580000,0.007147,0.007147,0.007147,0.007147,2579.0
PENGU,PENGU-USDC,PENGU,1m,1773350640000,0.007154,0.007154,0.007154,0.007154,2404.0
PENGU,PENGU-USDC,PENGU,1m,1773350700000,0.007146,0.007146,0.007146,0.007146,2771.0
PENGU,PENGU-USDC,PENGU,1m,1773350760000,0.007146,0.007146,0.007142,0.007142,4593.0
PENGU,PENGU-USDC,PENGU,1m,1773350820000,0.007148,0.007148,0.007148,0.007148,2689.0
PENGU,PENGU-USDC,PENGU,1m,1773350880000,0.00715,0.00715,0.00715,0.00715,2596.0
PENGU,PENGU-USDC,PENGU,1m,1773350940000,0.00715,0.00715,0.00715,0.00715,0.0
PENGU,PENGU-USDC,PENGU,1m,1773351000000,0.007154,0.007157,0.007154,0.007155,10633.0
PENGU,PENGU-USDC,PENGU,1m,1773351060000,0.007146,0.00715,0.007146,0.00715,40050.0
PENGU,PENGU-USDC,PENGU,1m,1773351120000,0.00715,0.00715,0.00715,0.00715,0.0
PENGU,PENGU-USDC,PENGU,1m,1773351180000,0.007148,0.007153,0.007148,0.007153,10424.0
PENGU,PENGU-USDC,PENGU,1m,1773351240000,0.007153,0.007153,0.007153,0.007153,62600.0
PENGU,PENGU-USDC,PENGU,1m,1773351300000,0.007153,0.007153,0.007153,0.007153,0.0
PENGU,PENGU-USDC,PENGU,1m,1773351360000,0.007153,0.007153,0.007153,0.007153,0.0
PENGU,PENGU-USDC,PENGU,1m,1773351420000,0.007156,0.007156,0.007156,0.007156,2760.0
PENGU,PENGU-USDC,PENGU,1m,1773351480000,0.007156,0.007156,0.007156,0.007156,0.0
PENGU,PENGU-USDC,PENGU,1m,1773351540000,0.007153,0.007156,0.007153,0.007156,4788.0
PENGU,PENGU-USDC,PENGU,1m,1773351600000,0.007153,0.007153,0.007153,0.007153,2322.0
PENGU,PENGU-USDC,PENGU,1m,1773351660000,0.007159,0.007159,0.007155,0.007155,4651.0
PENGU,PENGU-USDC,PENGU,1m,1773351720000,0.007155,0.007155,0.007155,0.007155,0.0
PENGU,PENGU-USDC,PENGU,1m,1773351780000,0.007155,0.007157,0.007153,0.007153,10474.0
PENGU,PENGU-USDC,PENGU,1m,1773351840000,0.007153,0.007153,0.007153,0.007153,0.0
PENGU,PENGU-USDC,PENGU,1m,1773351900000,0.007156,0.007157,0.007156,0.007157,7585.0
PENGU,PENGU-USDC,PENGU,1m,1773351960000,0.007159,0.00716,0.007159,0.00716,233964.0
PENGU,PENGU-USDC,PENGU,1m,1773352020000,0.007166,0.007166,0.007166,0.007166,6854.0
PENGU,PENGU-USDC,PENGU,1m,1773352080000,0.007167,0.007171,0.007166,0.007167,918235.0
PENGU,PENGU-USDC,PENGU,1m,1773352140000,0.007167,0.007167,0.007167,0.007167,0.0
PENGU,PENGU-USDC,PENGU,1m,1773352200000,0.00718,0.007192,0.00718,0.00719,131141.0
PENGU,PENGU-USDC,PENGU,1m,1773352260000,0.007192,0.007192,0.007192,0.007192,37356.0
PENGU,PENGU-USDC,PENGU,1m,1773352320000,0.007191,0.007191,0.007184,0.007184,16055.0
PENGU,PENGU-USDC,PENGU,1m,1773352380000,0.007185,0.007185,0.007183,0.007183,288967.0
PENGU,PENGU-USDC,PENGU,1m,1773352440000,0.007183,0.007183,0.007183,0.007183,0.0
PENGU,PENGU-USDC,PENGU,1m,1773352500000,0.007197,0.007197,0.007195,0.007195,6862.0
PENGU,PENGU-USDC,PENGU,1m,1773352560000,0.007195,0.007206,0.007193,0.007202,603127.0
PENGU,PENGU-USDC,PENGU,1m,1773352620000,0.007205,0.007205,0.007205,0.007205,38619.0
PENGU,PENGU-USDC,PENGU,1m,1773352680000,0.00721,0.00721,0.00721,0.00721,1526.0
PENGU,PENGU-USDC,PENGU,1m,1773352740000,0.00722,0.007224,0.007213,0.007213,101076.0
PENGU,PENGU-USDC,PENGU,1m,1773352800000,0.007208,0.00723,0.007208,0.00723,12418.0
PENGU,PENGU-USDC,PENGU,1m,1773352860000,0.007234,0.007234,0.007234,0.007234,7156.0
PENGU,PENGU-USDC,PENGU,1m,1773352920000,0.007234,0.007234,0.007222,0.007228,1114941.0
PENGU,PENGU-USDC,PENGU,1m,1773352980000,0.007231,0.007231,0.007231,0.007231,13300.0
PENGU,PENGU-USDC,PENGU,1m,1773353040000,0.007231,0.007231,0.007231,0.007231,0.0
PENGU,PENGU-USDC,PENGU,1m,1773353100000,0.007229,0.007234,0.007229,0.007232,45976.0
PENGU,PENGU-USDC,PENGU,1m,1773353160000,0.007228,0.007228,0.007214,0.007214,190047.0
PENGU,PENGU-USDC,PENGU,1m,1773353220000,0.007219,0.007225,0.007219,0.00722,114367.0
PENGU,PENGU-USDC,PENGU,1m,1773353280000,0.00723,0.00723,0.00723,0.00723,2609.0
PENGU,PENGU-USDC,PENGU,1m,1773353340000,0.007228,0.007228,0.007228,0.007228,54306.0
PENGU,PENGU-USDC,PENGU,1m,1773353400000,0.007229,0.007229,0.007215,0.007215,80644.0
PENGU,PENGU-USDC,PENGU,1m,1773353460000,0.007225,0.007225,0.007221,0.007221,4889.0
PENGU,PENGU-USDC,PENGU,1m,1773353520000,0.007229,0.007229,0.007226,0.007226,7281.0
PENGU,PENGU-USDC,PENGU,1m,1773353580000,0.007231,0.007232,0.007231,0.007232,6565.0
PENGU,PENGU-USDC,PENGU,1m,1773353640000,0.007228,0.007228,0.007228,0.007228,2402.0
PENGU,PENGU-USDC,PENGU,1m,1773353700000,0.007222,0.007222,0.007222,0.007222,58113.0
PENGU,PENGU-USDC,PENGU,1m,1773353760000,0.007219,0.007219,0.007212,0.007212,109071.0
PENGU,PENGU-USDC,PENGU,1m,1773353820000,0.007212,0.007212,0.007212,0.007212,2187.0
PENGU,PENGU-USDC,PENGU,1m,1773353880000,0.007213,0.007213,0.007213,0.007213,5125.0
